page,bill_month,bill_date,due_date,service_no,van_id,category,cons_kwh,cons_kvah,cons_kva,cons_pf,demand_normal,energy_charges,elec_duty,fppca,tod_charges,sub_total,customer_charges,total,net_bill,net_payable,chain_ok,doc_type
206,02/2026,04-03-2026,18-Mar-2026,VSP098,APEPDC0100000558,IB,34487.0,40448.0,323.53,0.85,24264.75,283136.0,2069.22,36033.28,0.0,345503.25,1406.0,346909.25,346909.0,346909.0,True,HT_BILL
207,02/2026,04-03-2026,18-Mar-2026,VSP212,APEPDC0100000391,,30476.0,32648.0,410.27,0.93,228000.0,129483.9,1828.56,8419.97,8325.0,376057.43,1406.0,384963.43,,384963.0,True,HT_BILL
208,02/2026,04-03-2026,18-Mar-2026,VSP361,APEPDC0100000508,IB,53727.0,55625.0,281.45,0.97,21108.75,389375.0,3223.62,46878.99,0.0,460586.36,1406.0,461992.36,461992.0,461992.0,True,HT_BILL
209,02/2026,04-03-2026,18-Mar-2026,VSP127,APEPDC0100000334,,37885.0,39564.0,134.2,0.96,76000.0,302664.6,2273.1,33144.63,6935.0,,,,,422423.0,False,HT_BILL
210,02/2026,02-03-2026,16-Mar-2026,VSP1375,APEPDC0100003730,IIB,12260.0,14790.0,54.0,0.83,0.0,181177.5,735.6,8985.6,0.0,190898.7,2813.0,443711.7,443712.0,443712.0,False,HT_BILL
211,02/2026,04-03-2026,18-Mar-2026,VSP009,APEPDC0100000627,,18614.0,18940.0,115.17,0.98,144400.0,144891.0,1116.84,12402.28,4670.0,307480.12,1406.0,308886.12,308886.0,308886.0,True,HT_BILL
212,02/2026,04-03-2026,18-Mar-2026,VSP309,APEPDC0100001933,IIA(I),19972.0,22152.0,72.82,0.9,133000.0,169462.8,1198.32,12820.73,4834.0,321315.85,1406.0,322721.85,322722.0,322722.0,True,HT_BILL
213,02/2026,01-03-2026,15-Mar-2026,VSP508,APEPDC0100000227,IIIA,10043.0,12415.0,66.818,0.81,31738.55,78214.5,602.58,6868.52,4027.5,115762.9,1406.0,117168.9,,117169.0,True,HT_BILL
214,02/2026,04-03-2026,18-Mar-2026,VSP1655,APEPDC0100004450,IIA(I),49712.0,54335.0,143.11,0.91,67977.25,415662.75,2982.72,35910.76,14316.0,536849.48,1406.0,538255.48,,538255.0,True,HT_BILL
215,02/2026,04-03-2026,18-Mar-2026,VSP1718,APEPDC0100004656,,31161.0,46113.0,101.83,0.68,76000.0,352764.45,1869.66,27094.34,9779.0,467507.45,1406.0,468913.45,468913.0,468913.0,False,HT_BILL
216,02/2026,04-03-2026,18-Mar-2026,VSP1720,APEPDC0100004657,IIA(I),52906.0,53299.0,284.0,0.0,152000.0,407737.35,3174.36,38621.06,13193.0,614725.77,1406.0,616131.77,,616132.0,True,HT_BILL
217,02/2026,04-03-2026,18-Mar-2026,VSP1154,APEPDC0100003106,IIA(I),,56800.0,2160.0,,0.0,0.0,,47000.0,207872.05,,,3128179.05,3128179.0,3128179.0,False,HT_BILL
218,,,,VSP-1154,,,,,,,,1776420.0,14874.0,233872.05,47000.0,,2813.0,,3154179.05,3154179.0,,sparse_bill
219,,,,,,,,,,,,,,,,,,,,,,OTHER
220,03/2026,03-04-2026,17-Apr-2026,VSP007,APEPDC0100000626,,762000.0,810400.0,2183.8,0.94,1037305.0,6199560.0,45720.0,449770.64,150900.0,7883255.64,1406.0,7884661.64,7884662.0,7884662.0,True,HT_BILL
221,03/2026,03-04-2026,17-Apr-2026,VSP098,APEPDC0100000558,IB,32322.0,47786.0,302.94,0.68,22720.5,334502.0,1939.32,43573.79,0.0,402735.61,1406.0,404141.61,404142.0,404142.0,True,HT_BILL
222,03/2026,03-04-2026,17-Apr-2026,VSP212,APEPDC0100000391,,37909.0,38636.0,334.18,0.98,228000.0,91800.0,2274.54,8244.77,11899.0,342218.31,1406.0,351124.31,,325463.0,True,HT_BILL
223,03/2026,03-04-2026,17-Apr-2026,VSP361,APEPDC0100000508,IB,88154.0,90624.0,275.52,,20664.0,634368.0,5289.24,45868.11,0.0,706189.35,1406.0,707595.35,707595.0,707595.0,True,HT_BILL
224,03/2026,03-04-2026,17-Apr-2026,VSP127,APEPDC0100000334,IIA(I),40772.0,42019.0,134.12,260.0,76000.0,321445.35,2446.32,36663.17,7070.0,443624.84,1406.0,445030.84,445031.0,445031.0,True,HT_BILL
225,03/2026,02-04-2026,16-Apr-2026,VSP1375,APEPDC0100003730,IIB,11860.0,15960.0,72.0,0.74,0.0,195510.0,711.6,7651.2,0.0,203872.8,2813.0,597218.8,,597219.0,False,HT_BILL
226,03/2026,03-04-2026,17-Apr-2026,VSP009,APEPDC0100000627,,23523.0,24061.0,116.8,860.0,144400.0,0.0,0.0,0.0,14137.44,349410.47,1406.0,350816.47,350816.0,350816.0,False,HT_BILL
